Stock,Earnings Yield,Return on Capital,Market Cap
APOLLOTYRE.NS,0.03157233136545546,0.05173179124755295,252792127488
APOLSINHOT.NS,0.041735473979774805,0.11167782822942368,3073803008
APTECHT.NS,0.016462324116915436,0.06164691978135618,6477069312
APTUS.NS,0.028565136504202802,0.1646955131112467,147145244672
ARCHIDPLY.NS,0.03909465484838828,0.09676074998541519,1739748864
ARCHIES.NS,0.02671581050235981,0.02125525466143445,566131712
ARE&M.NS,0.05056848041882237,0.19773782395945722,174733967360
ARENTERP.NS,0.06695189018698706,0.05006169179440401,139385520
ARIES.NS,0.10611287215405146,0.20213370022915803,3178250752
ARIHANTCAP.NS,0.030279400192854068,0.04619109629060818,6837850112
ARIHANTSUP.NS,0.02650434580881619,0.11639839744737089,15321809920
ARKADE.NS,0.011206192596402102,0.3012445167821202,26999259136
ARMANFIN.NS,0.002384370790711635,0.004360570541841094,13817062400
AROGRANITE.NS,0.06054145681623404,0.05469892009063803,538735104
ARROWGREEN.NS,0.007482321404659604,0.06948281496004516,8500523008
ARSSINFRA.NS,-0.028198836442427048,2.278553144661611,870638016
ARTNIRMAN.NS,0.01676535313631029,0.03465090438805807,1096067456
ARVEE.NS,0.02440673631836446,0.18168061637820052,1670852352
ARVIND.NS,0.01799731752220842,0.045477358303006206,83278987264
ARVINDFASN.NS,-0.028961472887116195,-0.12029780083649164,48832761856
ARVSMART.NS,0.013612461961569842,0.07868480374609378,28331235328
ASAHIINDIA.NS,0.020649165107787453,0.13813364240755943,151056138240
ASAHISONG.NS,0.09752520951068262,0.15119865249960654,4132780288
ASAL.NS,-0.013858128470364177,0.2454437138696439,6843661824
ASALCBR.NS,0.03981543834782658,0.3029742603125315,19819378688
ASHAPURMIN.NS,0.04004324743923591,0.1280756280343773,33873553408
ASHIANA.NS,0.002503428253643713,0.007784297355455476,27255537664
ASHIMASYN.NS,0.011042004637452656,0.019622443169374972,3938434304
ASHOKA.NS,0.11730735628753469,0.13770585140029024,51394768896
ASHOKAMET.NS,0.016894210299079525,0.031936684788264856,425181952
ASHOKLEY.NS,0.02272680473797183,0.0709497749299909,580821712896
ASIANENE.NS,0.02087122132540694,0.120565963307465,12106132480
ASIANHOTNR.NS,-0.3071246616847039,-0.4011801127667475,6878651392
ASIANPAINT.NS,0.019518946297662855,0.3043514985017752,2244694507520
ASIANTILES.NS,0.12180963978045194,0.13081746618895204,6148998656
ASKAUTOLTD.NS,0.01920788550921936,0.2123563711198765,79281061888
ASMS.NS,0.0012194465220478508,0.020410339987456855,4337176064
ASPINWALL.NS,0.057724915089965335,0.08512490790971804,1869822208
ASTEC.NS,0.06035679575093881,0.26405802942449597,13676009472
ASTERDM.NS,0.01760012173669083,0.058848178942783005,237008355328
ASTRAL.NS,0.015687122696550183,0.27351977828168306,345921290240
ASTRAMICRO.NS,0.00856556292123358,0.0972020685609341,62813798400
ASTRAZEN.NS,0.0066267814470195585,0.27202308949300735,196829233152
ASTRON.NS,0.2159787610096529,0.12332336200573128,563865280
ATALREAL.NS,0.025731054349610243,0.1390083799182329,1659674240
ATAM.NS,0.017660106525762564,0.13376761096803513,948259968
ATFL.NS,0.015045830327855633,0.09662003197559803,29614684160
ATGL.NS,0.010583266594583534,0.279281122150789,626932121600
ATL.NS,0.1106895185040054,0.17310426030935677,5708223488
ATLANTAA.NS,-0.0016801534231711587,0.0094187331349025,2382265600
ATLASCYCLE.NS,-0.5478592014764413,-1.2667362924281984,562452096
ATUL.NS,0.05821476666084368,0.215578008656332,152119885824
ATULAUTO.NS,-0.009975455668207716,-0.040490059516272,12737469440
AUBANK.NS,0.058581431622904766,0.05170723602262789,403786956800
AURIONPRO.NS,-0.013027679215948914,-0.24704324049897394,76261277696
AUROPHARMA.NS,0.11657004473306143,0.3192539201878137,635426439168
AURUM.NS,3.213885144977789,17.65268131617898,9653653504
AUSOMENT.NS,0.02851568082697143,0.012993925493025343,1018772800
AUTOAXLES.NS,0.014304389429466548,0.056842936475919904,23580008448
AUTOIND.NS,-0.02257139957515004,-0.07356898242797642,2951667968
AVADHSUGAR.NS,0.0992735666063748,0.184592885884988,8196411392
AVALON.NS,0.0089009535328548,0.35975907048613454,51422744576
AVANTEL.NS,0.007233946221399363,0.2691485218572258,26058315776
AVANTIFEED.NS,0.05429234334692887,0.25415125381121273,94470094848
AVG.NS,0.015290523302726672,0.05706283264441377,3776471296
AVL.NS,0.00812024770370407,0.269572748496146,52847206400
AVONMORE.NS,-0.0011880300893096188,-0.0074666637059078245,5660631040
AVROIND.NS,0.014851174451324617,0.1457618586428974,1756120192
AVTNPL.NS,0.07222116502072705,0.1919714447506328,8314341376
AWFIS.NS,0.0007702968559411508,0.008885608117407134,43578310656
AWHCL.NS,0.06607268608452252,0.1619682163738539,14144157696
AWL.NS,0.02715225064489577,0.20581583521467245,349469212672
AXISBANK.NS,0.0917159586991227,0.0327799331090716,3245888765952
AXISCADES.NS,0.0013987274869870535,0.01255065761666791,35536101376
AXITA.NS,0.024917635519756474,0.39427369308754917,3411653120
AYMSYNTEX.NS,0.027243577860975518,0.07953591110470083,13110817792
AZAD.NS,0.0024927062590078164,0.13813621320327468,78676656128
BAFNAPH.NS,0.03239879762093613,0.09516692381079554,1703253632
BAGFILMS.NS,-0.006558159578873725,-0.006785008556062582,1203054592
BAIDFIN.NS,0.03469698669998798,0.02271023576324928,1197078016
